# Pathway	SGP033296	SGP033297	SGP033298	SGP033299	SGP033300	SGP033301	SGP033302	SGP033303	SGP033304	SGP033305	SGP033306	SGP033307	SGP033308	SGP033309	SGP033310	SGP033311	SGP033312	SGP033313	SGP033314	SGP033315	SGP033316	SGP033317	SGP033318	SGP033319	SGP033320	SGP033321	SGP033322	SGP033323	SGP033324	SGP033325	SGP033326	SGP033327	SGP033328	SGP033329	SGP033330	SGP033331	SGP033332	SGP033333	SGP033334	SGP033335	SGP033336	SGP033337	SGP033338	SGP033339	SGP033340	SGP033341	SGP033342	SGP033343	SGP033344	SGP033345	SGP033346	SGP033347	SGP033348	SGP033349	SGP033350	SGP033351	SGP033352	SGP033353	SGP033354	SGP033355	SGP033356	SGP033357	SGP033358	SGP033359	SGP033360	SGP033361	SGP039575	SGP039576	SGP039577	SGP039578	SGP039579	SGP039580	SGP039581	SGP039582	SGP039583	SGP039584	SGP039585	SGP039586	SGP039587	SGP039588	SGP039589	SGP039590	SGP039591	SGP039592	SGP039593	SGP039594	SGP039595	SGP039596	SGP039597	SGP039598	SGP039599	SGP039600	SGP039601	SGP039602	SGP039603	SGP039604	SGP039605	SGP039606	SGP039607	SGP039608	SGP039609	SGP039610	SGP039611	SGP039612
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	12473.4	10488.2	11886.2	10870.4	12931.6	12328.7	3639.81	9388.24	10061.6	11130.5	7887.09	9631.57	11835	10945.4	14135.1	11163.9	11634.5	13435.3	10660	13152.5	10833.1	14051.9	12150.1	11486.8	13181	9282.12	11688.3	14098.4	6129.89	9218.84	11663.3	13930.7	11117.7	10774.7	5443.11	11127.1	12011.8	11845.3	11516.3	11536	11909.4	11641.7	10278.2	5525.26	14939.9	10161.4	11735.9	10168.9	8507.55	10920.2	10266.3	11467.4	10430.4	11544.3	11501.4	10038.1	11102.6	11191.8	13398.9	12356.7	12446.5	11692.2	10815.4	10458.2	11652.1	12845.9	13437	12520.2	11201.5	11688.1	12578.2	13577.4	11222.7	11997.3	13998.1	9950.09	11026.3	12263.1	11193.1	10906	10030.2	11276.3	12606.7	5996	7879.69	12772.4	10942.1	13399.5	7487.44	12244	10514.6	11360.9	11063.9	12348.1	10924.3	12691.1	11510	11957.8	12837.8	10530.1	13144	11511.9	13891.8	12295
PWY-6396: superpathway of 2,3-butanediol biosynthesis	0	0	0	0	10.9481	0	0	0	0	0	13.5095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.5847	14.9512	51.2753	0	0	2.32484	0	4.9395	0	0	9.33853	0	0	0	48.6437	5.1516	0	5.8214	0	0	0	6.5397	0	0	0	17.1246	0	12.7075	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1135	0	0	0	0	0	0	0	0	9.98273	0	0	0	0	0	0	0	0	0	0	0	9.05084	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	0	12.8055	0	0	70.2743	0	0	0	0	0	0	0	0	0	0	0	0	64.8593	0	134.74	0	26.5905	0	0	136.884	0	0	67.5478	0	5.93955	6.06958	59.8018	0	0	0	0	0	0	0	0	0	0	0	59.6564	40.7377	0	0	0	2.9528	0	13.953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.4983	0	0	0	170.165	70.9968	0	315.565	0	0	0	0	0	0	0	0	0	0	0	205.925	0	273.135	3.48533	229.679	0	0	0	180.574	0	0	289.364	0	0	0	0	0	143.614	0
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.83476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	1746.36	1858.49	1849.19	2276.83	2035.8	1701.7	0	2060.74	1383.57	2087.16	17.1829	564.803	2412.29	733.397	373.864	1717.29	1901.23	2570.83	1465.29	2444.25	1101.24	2085.69	2420.01	978.433	2818.14	1850.3	1768.15	1826.87	0	1220.41	1310.18	2046.59	1129.31	2159.44	0	2096.89	3054.1	3016.99	2288.6	2158.48	2104.42	1883.64	2290.95	0	1904.33	1471.15	2171.12	2081.29	1866.62	2170.75	2123.63	1927.93	1624.91	2743.7	1962.85	2136.7	1806.01	1275.7	1630.8	2275.03	2709.79	1827.18	1297.37	1685.25	1706.44	1359.41	1980.85	1409.19	1327.71	1657.73	748.096	2140.98	1282.45	1875.58	1268.18	1879.78	1349.61	2576.09	2159.42	2820.67	1671.73	1409.46	744.218	65.6256	2514.62	1178.24	1665.35	1503	0	832.789	1235.56	1480.5	1695.35	1089.46	1144.14	1383.22	1593.81	1573.58	1748.99	2427.83	1804.69	2517.92	2053.96	1048.75
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	14.6458	0	16.1306	0	59.893	0	0	0	0	0	18.609	34.1524	18.3685	0	404.404	0	14.3	0	0	0	0	0	34.7075	0	0	45.5191	0	0	0	0	0	92.5542	0	0	0	0	0	0	0	0	0	8.43723	0	0	0	0	60.8302	0	0	0	0	61.7533	49.446	0	0	0	158.991	55.1444	51.955	65.973	137.066	103.301	0	119.378	149.572	66.2247	45.9506	0	0	0	0	0	0	0	0	0	0	97.907	0	0	76.2648	0	130.739	71.0619	0	0	78.3474	0	0	0	0	0	568.976	0	0	15.4473	0	67.6903	73.5932	0	0	0	0	0
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	42.2052	0	29.0575	85.2251	6.06782	39.1155	0	0	0	1.9301	0	14.0613	0	0	15.5883	78.1251	48.4673	12.0234	3.23571	39.0254	6.58067	64.7674	12.0133	26.7297	30.4603	45.8336	11.2091	21.5998	0	0	86.7188	5.54545	0	59.2024	0	139.642	526.549	538.015	28.1606	44.3583	69.5643	84.1293	2132.95	0	3.97493	833.579	43.141	648.623	145.747	571.277	166.048	48.7153	5.0677	284.979	13.4427	484.307	0	2.97161	0	0	0	28.3112	134.639	4.74103	0	0	0	34.4264	78.0734	0	0	8.87753	200.692	0	21.2579	20.1576	16.2115	0	0	56.5236	0	0	0	0	0	0	5.24663	0	0	0	0	155.941	0	0	0	10.9729	0	19.1101	15.0163	5.42604	41.7108	302.486	0	27.1935
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	1108.95	897.421	1689.5	1494.7	649.696	845.1	607.649	1459.1	1081.89	860.972	1066.36	1472.5	1046.35	899.541	1231.29	1144.17	1349.4	480.956	1863.82	566.869	712.786	529.007	1194.04	1769.91	511.03	1521.05	1628.04	480.353	1279.12	973.61	1073.05	494.827	980.416	1638.31	676.618	1211.38	903.987	1312.23	2270.56	2124.16	1607.13	1345.05	1569.12	766.414	471.023	2136.21	1961.52	2007.78	1727.99	1540.67	2060.06	1602.19	1147.98	2166.32	1829.45	1442.7	1327.6	1087.75	967.083	1720.26	1111.34	1920.89	1651.55	1000.13	680.968	1426.6	525.403	993.566	1575.32	841.324	579.677	473.957	1453.87	1114.52	542.364	1758.27	767.687	1532.31	1130.12	1155.7	1335.86	900.161	875.635	1056.17	1736.27	535.889	1305.14	793.908	912.428	1139.65	1839.57	1187.54	1115.04	923.249	2031.78	773.894	1698.75	713.735	773.683	3010.7	579.028	1389.38	769.807	476.774
PWY-6518: bile acids epimerization	8.85379	14.5654	14.761	0	0	0	0	29.3181	33.2491	44.0524	0	0	15.1392	8.98393	0	0	0	0	7.92671	0	44.9938	0	10.4137	0	0	14.6734	0	0	0	26.6474	36.6232	0	21.8193	17.7782	0	22.8622	0	0	0	2.16432	0	8.91445	0	0	0	0	0	0	11.4956	0	17.7072	0	4.84415	6.94766	0	15.8208	7.3085	8.68361	0	0	0	0	0	4.16083	13.709	0	0	0	2.7911	0	24.1887	0	4.38237	0	0	9.91293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43153	0	0	0	0	83.0971	0	7.76634	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	1608.09	3113.61	1206.07	2292.82	1222.11	1406.73	3882.44	4432.09	4244.88	3740.43	1255.93	2327.23	836.842	3493.76	1624.4	1793.06	651.631	561.409	2617.24	978.497	3819.3	453.911	768.309	2095.19	554.644	2901.68	1923.02	227.543	2793.66	3155.63	2275.04	398.389	3617.12	2549.66	3492.62	1537.97	171.964	680.188	1689.29	1560.28	1545.61	1954.56	1456.9	3664.29	186.58	1203.57	1675.38	1715.04	3803.97	2790.79	3044.75	1495.17	1919.69	2039.42	1266.37	2503.19	1927.33	1721.73	408.102	399.145	583.782	1698.36	1620.12	1634.49	1504.79	647.004	1054.29	1438.54	1393.68	2485.09	543.539	549.058	773.661	643.745	1574.01	4255.25	2880.83	788.356	1699.03	1664.83	2645.31	1159.58	1641.66	3302.91	2216.5	555.401	1545.04	348.286	3285.05	808.925	3495.98	1475.19	1596.83	516.491	3845.92	2073.54	678.131	2191.14	1976.26	2174.38	1864.65	455.956	650.026	2218.09
PWY-6524: lychnose and isolychnose biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.84988	0	0	0	4.57865	2.34541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6527: stachyose degradation	6883.39	4874.93	5332.59	3590.16	6420.69	6852.3	2503.6	4201.95	3621.37	5035.78	4588.99	1402.18	6369.1	5022.9	6492.24	4886.22	7189.8	7175.69	5128.99	6762.28	5045.03	6779.54	7295.56	5244.98	6984.03	5022.35	6247.04	6511.49	3864.03	2022.51	4330.17	6658.01	4474.84	4637.45	2551.28	5619.83	9520.43	8792.27	5210.39	5132.02	5456.72	4934.95	4496.14	2647.83	6110.03	6541.01	5415.72	6678.37	3569.87	4871.72	3896.39	4892.11	5904.84	6297.96	5812.35	4481.28	6231.36	6160.91	5466.76	5663.05	5384.25	5676.79	3899.38	3820.61	8270.54	4356.01	6022.15	6316.69	6097.28	2259.87	4315.41	6806.24	6031.86	4904.62	5884.48	1535.54	4368.9	5395.69	6692.4	4922.92	2707.16	5609.65	2545.09	3414.17	5071.27	4256.25	3888.34	4284.17	1517.01	4177.51	2678.38	5407.03	4729.18	4188.68	1548.58	5781.99	4605.33	4897.93	5793.94	2820.75	5553.64	6502.43	4579.73	4653.84
PWY-6531: mannitol cycle	129.095	542.468	38.4762	104.084	143.343	83.8913	2187.46	692.829	796.531	251.464	794.795	676.646	64.2717	514.209	639.097	49.0959	152.075	46.9224	451.408	126.926	466.952	96.7545	62.4053	189.413	108.854	1280.39	158.63	71.1485	1499.05	620.633	80.7136	132.805	352.878	50.6962	1999.73	99.3335	12.787	7.05162	168.406	186.059	275.979	96.0293	385.033	440.478	45.9235	696.183	257.77	1132.44	415.005	574.844	252.101	214.566	136.041	421.513	225.475	709.433	131.583	109.98	170.395	248.509	197.685	169.456	318.028	106.249	127.33	319.532	162.524	227.191	96.8209	345.785	130.718	94.4706	355.964	261.61	211.6	239.872	477.364	492.649	113.295	302.404	101.499	523.606	437.954	2542.36	1468.79	433.889	93.8946	375.197	29.4079	520.661	44.1844	183.129	423.43	493.579	7.50995	224.549	218.742	223.911	133.798	172.731	272.76	230.289	131.296	221.037
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	159.905	21.894	62.4843	28.3128	606.682	697.539	2719.18	35.5537	82.7708	10.6576	5639.83	1739.78	3.80776	13.3428	1463.61	107.676	125.869	184.015	200.375	164.58	72.2874	169.514	174.982	56.6791	126.28	1320.26	49.3401	85.466	2883.91	1999.52	63.2199	297.523	26.4659	138.013	2104.7	144.558	22.1243	106.038	84.6353	239.766	180.409	191.439	6.40074	3002.21	116.735	53.2956	144.039	134.697	1990.6	143.204	0	327.446	0	228.609	246.197	512.565	20.393	3.86083	165.455	135.318	180.222	133.918	569.577	0	223.437	147.078	533.39	132.528	186.314	442.95	1105.22	223.741	179.474	103.926	66.16	784.083	506.878	193.313	0	203.173	105.154	255.129	18.8899	3366.6	2468.65	463.36	36.1778	321.504	1603.29	503.796	15.7922	11.7468	230.375	548.382	35.4227	74.0185	2656.01	106.602	0	314.915	96.2258	86.2492	1098.66	124.828
PWY-6549: L-glutamine biosynthesis III	726.069	328.51	652.743	548.813	2232.53	1313.98	919.81	256.49	189.825	371.407	761.055	464.72	698.672	345.42	1400.92	357.542	579.426	1674.43	817.566	2356.63	300.796	1253.39	613.22	1201.41	1783.45	1624.63	1321.36	1055.29	667.057	932.104	525.689	1366.28	330.284	544.637	818.914	882.291	593.121	1291.35	434.067	422.226	552.032	921.524	688.956	141.667	726.317	471.295	513.185	575.79	1118.11	582.384	725.615	739.041	733.001	897.692	599.129	1039	942.887	931.702	586.517	751.518	1012.83	475.765	357.36	666.145	983.071	733.198	1836.85	394.603	424.668	341.259	304.682	1387.1	410.445	381.223	401.106	577.676	587.381	996.49	585.954	346.772	508.838	780.796	314.319	202.933	1850.31	232.154	910.477	329.736	0	252.072	399.168	460.589	767.196	311.579	167.972	438.562	347.96	457.588	388.543	654.836	472.223	341.136	480.426	397.219
PWY-6562: norspermidine biosynthesis	6.66264	0	8.66643	0	20.7673	0	233.258	4.98875	4.99374	2.6981	37.8079	50.9847	3.38458	0	140.188	0	2.417	53.2088	0	42.5006	6.30807	26.1229	5.5816	3.75396	32.7588	0	5.47841	44.0597	64.3479	61.5346	2.02775	11.0082	1.05802	2.34772	188.198	9.94482	4.3828	0	0	2.3588	7.02862	4.52662	0	90.0551	9.96486	5.32544	0	0	126.413	0	0	8.03811	0	13.7971	4.0266	6.37485	9.2187	0	0	8.95056	7.04794	8.94725	24.9254	12.5549	0	17.7455	27.1178	5.8358	0	0	0	42.3727	0	34.6932	0	0	0	35.3569	0	0	0	10.294	0	8.51815	0	0	0	0	150.061	18.347	0	0	0	9.29846	0	0	56.8581	0	21.2658	0	0	10.7022	0	15.3627
PWY-6565: superpathway of polyamine biosynthesis III	6.71249	0	2.96381	0	0	0	166.288	5.00334	5.0015	2.70518	33.5305	5.90587	3.40158	0	0	0	2.41767	0	0	0	6.33513	0	0	3.79497	0	0	5.52685	0	81.4659	0	2.03183	0	1.05905	2.35645	117.72	10.0412	4.39036	0	0	2.36797	7.10109	4.55357	0	0	0	0	0	0	0	0	0	8.14845	0	0	4.05635	0	0	0	0	9.02901	7.08419	9.06137	0	0	0	9.30003	0	5.92218	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7736	0	0
PWY-6572: chondroitin sulfate degradation I (bacterial)	244.184	662.934	220.625	203.27	9.76295	59.4188	0	883.181	670.28	291.196	0	1040.99	197.109	998.589	32.5025	108.14	53.3555	24.9699	304.257	57.3355	679.16	92.164	31.3272	127.163	53.6636	58.3334	180.244	45.6604	0	1708.99	262.396	21.1636	699.623	696.65	0	311.773	616.358	611.041	236.932	133.257	255.481	345.041	2642.71	2.29476	6.27155	1229.61	109.327	893.026	442.712	703.848	361.798	273.835	324.169	416.749	110.351	981.305	187.988	258.249	0	0	0	80.9747	403.557	576.292	127.778	0	0	394.097	280.916	30.9733	76.2777	31.1612	330.005	132.043	389.017	0	668.524	0	239.936	203.732	888.529	0	0	0	0	117.731	343.982	32.2686	0	170.808	0	280.653	0	150.332	0	351.901	85.7043	903.814	331.791	0	519.265	449.454	45.6217	515.297
PWY-6588: pyruvate fermentation to acetone	375.922	238.438	302.913	46.8056	139.271	117.875	446.198	367.091	321.002	241.833	271.943	276.588	206.15	173.72	299.619	290.914	134.077	188.41	107.518	168.696	357.057	109.85	58.3706	166.35	187.587	144.284	102.697	170.9	289.811	90.6423	154.064	75.3614	364.73	133.559	151.902	181.619	137.498	291.397	492.217	387.972	543.513	308.534	129.309	53.0866	105.597	206.131	427.925	201.455	68.2367	326.769	384.241	359.209	232.417	253.888	283.788	249.526	147.584	230.965	332.045	314.609	331.319	285.263	109.944	158.047	198.649	291.376	90.7595	284.129	79.4163	59.5351	209.628	137.311	179.994	489.125	328.166	245.444	159.147	195.435	110.272	263.563	258.256	313.842	242.201	35.5691	379.204	327.923	237.541	221.966	0	207.362	100.466	258.133	152.997	122.338	105.089	117.654	548.581	98.5126	130.741	354.896	118.679	104.506	97.8506	99.3781
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	878.88	478.837	574.58	535.929	790.057	767.719	4.54767	510.641	463.16	901.71	110.479	687.605	1098.96	443.056	0	222.053	548.716	828.2	627.863	889.774	741.855	623.167	515.436	1407.52	1001.08	429.645	1577.79	827.653	46.4919	728.682	625.54	754.208	919.848	685.507	4.29135	649.322	845.615	1115.55	1726	1701.43	1866.7	904.087	579.985	188.439	602.239	835.318	1945.58	1145.89	680.272	1118.95	701.067	1926.21	467.907	1274.9	1797.39	664.756	351.617	382.431	771.356	914.267	1171.34	1875.4	717.735	293.276	300.328	968.65	688.758	1063.4	537.686	42.1766	375.648	846.635	751.675	809.15	976.973	345.284	818.588	1007.77	399.566	1442.4	366.239	690.013	608.947	5.10062	792.171	466.053	357.425	1041.68	14.089	778.879	421.114	828.545	793.025	597.346	269.728	674.821	950.881	652.903	722.324	413.703	1061.01	1082.34	387.116	716.59
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	801.369	223.569	190.669	194.433	236.996	160.636	1251.01	312.446	410.703	202.77	599.663	666.618	352.774	156.106	143.423	423.893	419.2	187.401	504.03	172.316	96.016	146.6	283.275	811.025	317.576	222.599	463.175	212.009	504.066	99.5282	176.003	152.192	199.857	128.836	131.975	124.117	176.04	170.853	208.522	166.004	164.861	120.36	96.8471	0	137.265	797.149	293.593	551.835	204.729	536.977	269.638	270.155	212.503	678.405	180.636	418.888	237.729	200.855	369.438	457.056	366.853	152.963	138.215	196.009	254.221	472.849	198.907	16.8073	236.041	16.6371	139.472	183.998	181.558	290.894	26.4	337.928	39.1423	443.543	321.266	92.2378	189.539	263.396	375.618	52.1759	170.375	187.195	275.277	241.102	50.5495	330.112	33.7976	285.542	408.414	356.389	62.6724	41.3878	387.198	29.994	48.8637	150.847	15.4024	164.57	184.455	14.3027
PWY-6606: guanosine nucleotides degradation II	1203.41	1088.08	924.167	375.026	519.634	616.06	2880.45	560.126	662.089	772.806	860.828	743.22	759.702	725.547	913.026	1254.44	1715.4	862.639	1013.53	720.075	644.229	557.505	1033.92	952.045	782.714	1781.66	940.008	645.903	2143.78	924.764	738.278	593.122	673.471	780.383	962.278	745.333	1187.36	983.705	1296.91	1241.87	1316.25	671.161	682.31	522.339	434.695	1624.26	1206.81	1172.58	910.298	1010.04	464.74	1306.57	544.741	1114.73	1241.22	1156.54	588.84	482.455	953.919	995.508	913.022	1096.09	748.348	421.604	502.044	813.841	437.445	645.495	689.802	699.821	186.645	703.291	913.268	874.339	388.956	909.348	1252.29	1227.1	794.011	730.384	471.493	909.902	627.148	2281.89	2776.43	718.385	446.6	568.971	127.192	513.315	644.722	896.133	782.003	658.287	352.341	347.508	855.583	355.647	317.162	625.394	487.646	828.952	509.521	335.545
PWY-6607: guanosine nucleotides degradation I	783.13	220.985	190.593	188.243	251.174	163.149	1266.2	303.029	388.561	199.265	620.805	743.22	345.948	154.104	148.909	421.311	421.519	190.3	532.057	175.271	94.9729	150.279	282.313	891.773	319.7	228.061	468.7	212.612	510.436	100.065	174.408	155.397	197.935	128.576	130.611	124.16	173.627	169.662	212.67	168.579	167.197	119.521	97.5351	0	139.756	805.061	301.069	541.592	203.809	566.761	265.271	276.13	206.838	695.233	184.054	434.553	231.843	194.904	373.316	474.365	375.25	155.812	138.819	187.534	244.128	486.718	213.235	16.8195	236.635	16.6359	126.768	187.339	181.156	291.566	26.4537	362.123	39.3122	458.065	316.721	92.7984	185.779	271.622	402.808	52.422	171.918	186.71	278.294	240.654	49.5169	321.665	33.8446	288.011	405.987	354.5	63.1168	41.5206	392.56	30.0023	49.1679	149.87	15.4395	163.645	192.669	14.3251
PWY-6608: guanosine nucleotides degradation III	2993.08	3316.27	2001.89	1394.93	831.72	1054.43	3423.7	1851.79	3030.64	2734.31	1409.41	907.779	2175.18	2448.85	3119.37	2918.66	2969.18	1371.57	1492.65	1158.35	2488.61	843.87	2276.63	1427.74	1582.28	4448.68	1819.35	1399.97	2773.4	1566.27	2095.48	939.417	1869.82	1857.33	2850.74	1650.36	4176	2566.98	2114.9	1952.98	2046.26	1923.97	1196.92	2517.74	774.262	2903.57	1795.23	3024.04	2203.7	1450.49	1289.16	1967.9	2048.12	1945.18	2073.37	1667.62	2023.67	1878.99	1800.87	1518.51	1548.05	1852.52	1503.43	2159.5	2114.53	1439.66	788.788	1285.82	1477.07	1644.34	1186.57	1153.36	2144.4	1873.62	792.286	1955.01	2143.78	1779.83	2176.81	1290.55	1546.42	1342.83	952.281	5913.78	5416.85	1728.54	939.182	1347.62	447.151	1551.78	1301.81	1752.66	1866.72	1597.46	690.057	718.858	1640.92	832.406	619.507	1694.17	802.911	2144.19	790.618	665.425
PWY-6609: adenine and adenosine salvage III	12063.3	10591	12396.4	10671.2	10426.9	11642.8	3952.15	9870.75	10804.4	11723.9	5755.38	8784.27	11726.7	11560.6	10666.9	10048.9	10698.4	11711.4	10349.5	11031.8	11573.4	11560.2	11940.4	10522.3	11038.4	8837.67	11185.7	11246.2	4673.52	8722.91	11805.1	11333.8	11565.3	11411.2	3955.09	12014.5	12020.2	12592.8	12168	12208	12449	12280.9	9900.85	5329.27	11379.8	10304.5	12411.2	10861.2	8972.57	10609.8	10871.4	11874.2	10288.5	11899.6	12279.9	9063.76	10127.5	10292.6	13148.6	13150.2	13740.2	12375	11181.4	9302.77	10870.5	13233.9	11106.3	12837.5	11209.1	11781	11098.5	11528.7	11221.9	11492.3	14220.7	10472.8	10855.3	12638	10731.5	11424.9	9957.88	12168.5	13444.6	5839.83	8290.94	11614.3	9512.5	11937.1	6557.75	11253	10992.8	11917.4	12058.1	11341.9	11322.7	12561.8	11268.8	12325.8	13056.2	11035.9	13675.1	11952.6	11765.6	12933.5
PWY-6612: superpathway of tetrahydrofolate biosynthesis	414.573	199.117	446.983	375.953	325.447	336.882	1566.73	134.261	256.592	591.07	858.069	548.107	352.445	265.336	549.727	680.874	952.567	531.622	506.989	466.046	148.751	339.829	933.906	491.195	374.64	770.052	479.38	365.478	999.857	240.897	755.374	571.226	421.784	629.442	661.239	746.614	330.42	651.026	305.034	292.063	351.968	650.441	1089.48	778.746	312.649	518.753	248.331	581.451	750.032	360.429	983.581	296.66	691.947	540.826	529.013	630.064	534.425	338.722	87.5839	97.7343	122.907	247.571	184.555	328.956	299.215	50.3829	275.405	341.147	191.215	705.17	72.1507	486.779	295.385	227.597	207.484	110.135	583.4	214.418	178.795	258.357	231.088	284.576	0	1330.73	872.89	361.393	463.473	385.953	299.505	380.281	311.84	464.421	167.687	292.459	191.052	266.513	287.047	287.926	395.72	73.2025	296.324	281.133	764.902	407.823
PWY-6628: superpathway of L-phenylalanine biosynthesis	3638	2419.94	3770.14	2404.56	4580.17	2626.05	3071.92	3949.59	2960.98	2420.34	6513.05	3966.29	3710.39	2152.06	3024.66	4752.27	3517.84	3174.18	4701.49	4315.83	1974.65	3015.28	3193.8	6580.51	3689.13	2879.32	4541.35	2471.6	2815.56	1509.36	2401.23	2968.01	1880.21	3003.52	4385.91	3456.14	3564.97	4246.18	5131.55	5236.4	5184.58	3835.12	3165.49	1003.12	2150.41	3684.06	4920.56	3082.95	3388.35	3062.09	4115.59	5012.75	3746.44	3943.95	4655.22	3227.3	4429.04	3983.35	2120.87	3306.91	2431.15	5290.78	3324.54	2874.75	3850.31	2387.19	3784.13	2628.97	3590.93	4637.18	2416.49	3181.36	3803.92	3242.83	1940.5	677.945	2018.63	2796.85	3576.37	5184.18	3016.68	1543.05	1563.3	4856.33	4272.08	1988.9	4032.63	2579.46	2319.43	3137.51	3034.2	3150.1	2221.07	2742.91	2985.43	2255.4	3671.87	2928.44	2948.31	788.994	2343.39	3008.81	3119.11	2020.19
PWY-6630: superpathway of L-tyrosine biosynthesis	2572.27	1957.28	3148.65	1071.3	2842.19	2108.35	2544.96	3432.33	2541.46	1741.34	1047.86	3726.41	2480.89	1740.43	1880.46	4010.8	3270.92	2657.03	1746.29	2956.89	1540.04	2190.44	2480.17	2543.08	2654.21	2234.29	1990.27	1954.38	1738.48	1225.53	2031.51	2190.7	1632.25	2251.59	3360.62	2141.55	2251.72	2310.44	4821.11	4966.61	4570.09	2552.13	1880.52	686.273	1989.29	3795.04	4707.36	3019.38	1511.91	3002.4	1955.81	4719.53	2741.73	3617.68	3990.82	2125.45	2967.9	2568.45	1380.56	2440.91	2054.52	4956.51	1638.19	1965.46	2480.92	1845.06	2560.64	2035.56	2946.27	1023.98	2338.52	2664.29	2401.47	2871.14	1304.91	613.56	1407.86	2488.56	2748.74	5895.76	2146.28	983.633	1294.53	2325.33	1721.3	1784.13	2620.99	2305.26	2317.59	2422.57	1149.22	1763.45	1872.06	2362.94	699.757	1600.1	3156.15	2153.38	2029.53	474.15	1513.91	2668.24	2380.23	1160.62
PWY-6641: superpathway of sulfolactate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.64773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6662: superpathway of quinolone and alkylquinolone biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	0	0	25.0996	0	18.0569	0	2233.4	5.9556	0	0	204.79	45.6419	0	2.85201	513.376	0	0	6.30773	0	12.0148	0	6.04392	24.1816	0	2.29505	1011.71	0	0	1137.9	150.302	13.6047	16.2244	0	15.284	1200.37	22.5939	1.37541	0	0	0	0	11.99	0	1062.56	0	0	6.44298	2.8804	184.411	0	0	26.6274	0	1.85711	3.77521	4.19699	0	0	0	0	2.58414	0	0	0	0	0	10.2485	0	0	124.504	0	0	0	0	0	117.297	143.214	7.67638	0	0	0	51.816	0	1566.55	997.145	0	19.4011	0	105.723	0	0	0	0	0	0	3.55603	0	0	0	0	26.1516	0	0	0
